datetime,brpl_mw,bypl_mw,gross_demand_mw,mes_mw,ndmc_mw,ndpl_mw,temperature,humidity,precipitation,wind_speed,cloud_cover,solar_radiation,direct_radiation,feels_like,solar_generation_mw,net_demand,available_capacity_mw,area,node
2025-01-13 00:00:00,1020.69,482.77500000000003,2284.3208333333337,24.4225,110.09333333333332,624.615,9.9,96,0.0,4.2,0,0.0,0.0,9.1,0.0,2284.3208333333337,9500.0,Delhi,System
2025-01-13 01:00:00,881.435,406.2708333333333,1981.4975000000002,22.85166666666667,104.77083333333333,547.4708333333333,9.8,96,0.0,4.9,0,0.0,0.0,8.9,0.0,1981.4975000000002,9500.0,Delhi,System
2025-01-13 02:00:00,811.1783333333333,365.8458333333333,1820.9975000000002,22.257499999999997,101.77999999999999,502.6308333333333,9.7,97,0.0,5.2,11,0.0,0.0,8.7,0.0,1820.9975000000002,9500.0,Delhi,System
2025-01-13 03:00:00,792.8008333333333,350.3908333333333,1763.7008333333333,22.7225,100.61083333333333,480.30583333333334,9.5,97,0.0,5.4,20,0.0,0.0,8.5,0.0,1763.7008333333333,9500.0,Delhi,System
2025-01-13 04:00:00,846.8375,363.26666666666665,1851.7758333333334,24.734166666666667,101.79416666666667,497.1075,9.4,98,0.0,6.8,41,0.0,0.0,8.1,0.0,1851.7758333333334,9500.0,Delhi,System
2025-01-13 05:00:00,1045.5241666666668,447.6775,2262.1116666666667,30.389166666666668,109.65416666666665,607.2991666666667,9.2,99,0.0,7.1,100,0.0,0.0,7.8,0.0,2262.1116666666667,9500.0,Delhi,System
2025-01-13 06:00:00,1445.9066666666668,653.5183333333333,3150.6183333333333,41.645,130.67499999999998,848.3825,9.9,98,0.0,7.2,48,0.0,0.0,8.7,0.0,3150.6183333333333,9500.0,Delhi,System
2025-01-13 07:00:00,1841.4266666666665,885.0416666666666,4095.905,49.45166666666666,155.05166666666668,1127.5216666666668,9.8,97,0.0,7.2,21,1.0,0.0,8.6,0.136,4095.7690000000002,9500.0,Delhi,System
2025-01-13 08:00:00,2127.534166666667,1015.3449999999999,4745.2525,53.4075,190.60333333333332,1316.9433333333334,10.8,94,0.0,8.2,3,68.0,24.0,9.5,9.248,4736.0045,9500.0,Delhi,System
2025-01-13 09:00:00,2259.7241666666664,1075.195,5106.5575,52.15083333333333,217.72,1454.1766666666665,12.2,92,0.0,6.7,0,220.0,119.0,11.5,29.920000000000005,5076.6375,9500.0,Delhi,System
2025-01-13 10:00:00,2280.6208333333334,1121.8799999999999,5373.677500000001,52.26333333333333,235.17333333333332,1630.9099999999999,14.1,83,0.0,6.7,0,390.0,262.0,13.5,53.040000000000006,5320.637500000001,9500.0,Delhi,System
