datetime,temperature,humidity,precipitation,wind_speed,cloud_cover,solar_radiation,direct_radiation,feels_like,gross_demand_mw,solar_generation_mw,net_demand_mw,area,node,discom_brpl_mw,discom_bypl_mw,discom_ndpl_mw,discom_ndmc_mw,discom_mes_mw,available_capacity_mw
2025-09-03 00:00:00,24.8,96,0.0,10.4,100,0.0,0.0,29.4,2823.7,0.0,2823.7,Delhi,System,1185.954,790.6360000000001,677.6879999999999,141.185,28.237,9500.0
2025-09-03 01:00:00,24.5,96,0.0,9.4,86,0.0,0.0,29.2,2796.3,0.0,2796.3,Delhi,System,1174.4460000000001,782.9640000000002,671.112,139.81500000000003,27.963,9500.0
2025-09-03 02:00:00,24.3,97,0.0,8.1,44,0.0,0.0,29.1,2905.9,0.0,2905.9,Delhi,System,1220.478,813.6520000000002,697.4159999999999,145.29500000000002,29.059,9500.0
2025-09-03 03:00:00,24.2,97,0.0,9.3,35,0.0,0.0,28.8,2864.5,0.0,2864.5,Delhi,System,1203.09,802.0600000000001,687.48,143.225,28.645,9500.0
2025-09-03 04:00:00,24.1,98,0.0,9.6,65,0.0,0.0,28.6,2927.1,0.0,2927.1,Delhi,System,1229.3819999999998,819.5880000000001,702.5039999999999,146.355,29.271,9500.0
2025-09-03 05:00:00,24.1,98,0.0,6.0,98,0.0,0.0,29.1,3811.1,0.0,3811.1,Delhi,System,1600.6619999999998,1067.1080000000002,914.664,190.555,38.111,9500.0
2025-09-03 06:00:00,24.1,96,8.3,6.6,100,3.0,0.0,28.8,5474.0,0.40800000000000003,5473.592,Delhi,System,2299.08,1532.7200000000003,1313.76,273.7,54.74,9500.0
2025-09-03 07:00:00,24.8,95,1.9,5.5,99,35.0,3.0,30.0,5581.3,4.76,5576.54,Delhi,System,2344.146,1562.7640000000001,1339.512,279.065,55.813,9500.0
2025-09-03 08:00:00,25.4,93,0.3,2.5,98,95.0,5.0,31.2,5303.6,12.920000000000002,5290.68,Delhi,System,2227.512,1485.0080000000003,1272.864,265.18,53.036,9500.0
2025-09-03 09:00:00,26.6,88,0.1,4.5,97,191.0,23.0,32.4,5330.6,25.976000000000003,5304.624000000001,Delhi,System,2238.852,1492.5680000000002,1279.344,266.53000000000003,53.306000000000004,9500.0
2025-09-03 10:00:00,27.8,86,0.1,1.0,100,383.0,133.0,34.5,5858.3,52.08800000000001,5806.212,Delhi,System,2460.486,1640.3240000000003,1405.992,292.915,58.583000000000006,9500.0
2025-09-03 11:00:00,29.2,81,0.1,5.4,100,673.0,370.0,36.3,5869.3,91.528,5777.772,Delhi,System,2465.1059999999998,1643.4040000000002,1408.632,293.46500000000003,58.693000000000005,9500.0
2025-09-03 12:00:00,29.4,76,0.7,9.1,100,606.0,280.0,34.9,5917.1,82.416,5834.684,Delhi,System,2485.1820000000002,1656.7880000000002,1420.104,295.855,59.17100000000001,9500.0
2025-09-03 13:00:00,27.9,82,0.4,10.4,100,348.0,46.0,32.8,5999.7,47.328,5952.371999999999,Delhi,System,2519.874,1679.9160000000002,1439.9279999999999,299.985,59.997,9500.0
2025-09-03 14:00:00,28.4,79,0.2,9.8,99,315.0,92.0,33.3,5867.4,42.84,5824.5599999999995,Delhi,System,2464.3079999999995,1642.872,1408.176,293.37,58.674,9500.0
2025-09-03 15:00:00,28.8,78,0.5,9.2,100,428.0,182.0,33.9,5859.9,58.208000000000006,5801.692,Delhi,System,2461.158,1640.7720000000002,1406.3759999999997,292.995,58.599,9500.0
2025-09-03 16:00:00,28.4,80,0.1,9.7,100,274.0,73.0,33.5,5621.1,37.264,5583.836,Delhi,System,2360.862,1573.9080000000004,1349.064,281.055,56.211000000000006,9500.0
2025-09-03 17:00:00,28.0,83,0.0,9.2,100,165.0,33.0,33.2,5760.9,22.44,5738.46,Delhi,System,2419.578,1613.0520000000001,1382.6159999999998,288.045,57.608999999999995,9500.0
2025-09-03 18:00:00,26.2,86,0.0,9.5,100,12.0,0.0,30.7,6529.0,1.6320000000000001,6527.368,Delhi,System,2742.18,1828.1200000000001,1566.96,326.45000000000005,65.29,9500.0
2025-09-03 19:00:00,25.9,85,0.0,8.4,100,0.0,0.0,30.3,6437.5,0.0,6437.5,Delhi,System,2703.75,1802.5000000000002,1545.0,321.875,64.375,9500.0
2025-09-03 20:00:00,25.8,87,0.1,6.7,100,0.0,0.0,30.5,6444.3,0.0,6444.3,Delhi,System,2706.6059999999998,1804.4040000000002,1546.632,322.21500000000003,64.443,9500.0
2025-09-03 21:00:00,25.6,90,0.4,6.7,100,0.0,0.0,30.5,6295.2,0.0,6295.2,Delhi,System,2643.984,1762.6560000000002,1510.848,314.76,62.952,9500.0
2025-09-03 22:00:00,25.4,91,1.1,6.8,100,0.0,0.0,30.4,6285.7,0.0,6285.7,Delhi,System,2639.9939999999997,1759.996,1508.568,314.285,62.857,9500.0
2025-09-03 23:00:00,25.1,95,0.4,4.8,100,0.0,0.0,30.7,3934.5,0.0,3934.5,Delhi,System,1652.49,1101.66,944.28,196.72500000000002,39.345,9500.0
2025-09-04 00:00:00,25.1,96,0.4,5.3,100,0.0,0.0,30.6,2856.3,0.0,2856.3,Delhi,System,1199.646,799.7640000000001,685.5120000000001,142.81500000000003,28.563000000000002,9500.0
2025-09-04 01:00:00,25.0,96,0.6,6.3,100,0.0,0.0,30.4,2848.4,0.0,2848.4,Delhi,System,1196.328,797.5520000000001,683.616,142.42000000000002,28.484,9500.0
2025-09-04 02:00:00,24.8,97,0.5,7.3,98,0.0,0.0,30.0,2800.2,0.0,2800.2,Delhi,System,1176.0839999999998,784.056,672.0479999999999,140.01,28.002,9500.0
